airport_code,latitude,longitude,timezone
ABE,40.6525,-75.44027778,America/New_York
ABI,32.41138889,-99.68194444,America/Chicago
ABQ,35.03888889,-106.60833333,America/Denver
ABR,45.44666667,-98.4225,America/Chicago
ABY,31.53555556,-84.19444444,America/New_York
ACT,31.61222222,-97.23027778,America/Chicago
ACV,40.97777778,-124.10833333,America/Los_Angeles
ACY,39.4575,-74.57722222,America/New_York
ADK,51.88361111,-176.6425,America/Adak
ADQ,57.74972222,-152.49388889,America/Anchorage
AEX,31.3275,-92.54861111,America/Chicago
AGS,33.37,-81.96444444,America/New_York
ALB,42.74916667,-73.80194444,America/New_York
ALW,46.0925,-118.28416667,America/Los_Angeles
AMA,35.21944444,-101.70583333,America/Chicago
ANC,61.17416667,-149.99805556,America/Anchorage
APN,45.07805556,-83.56027778,America/Detroit
ASE,39.22194444,-106.86833333,America/Denver
ATL,33.63666667,-84.42777778,America/New_York
ATW,44.25805556,-88.51916667,America/Chicago
AUS,30.19444444,-97.67,America/Chicago
AVL,35.43611111,-82.54194444,America/New_York
AVP,41.33833333,-75.72333333,America/New_York
AZA,33.30777778,-111.65555556,America/Phoenix
AZO,42.23444444,-85.55166667,America/Detroit
BDL,41.93916667,-72.68444444,America/New_York
BET,60.77861111,-161.83722222,America/Anchorage
BFF,41.87416667,-103.59555556,America/Denver
BFL,35.43388889,-119.05777778,America/Los_Angeles
BGM,42.20833333,-75.97972222,America/New_York
BGR,44.8075,-68.82805556,America/New_York
BHM,33.56388889,-86.75222222,America/Chicago
BIH,37.37305556,-118.36361111,America/Los_Angeles
BIL,45.80777778,-108.54361111,America/Denver
BIS,46.77277778,-100.74583333,America/Chicago
BJI,47.51083333,-94.93472222,America/Chicago
BLI,48.79277778,-122.5375,America/Los_Angeles
BLV,38.54527778,-89.83527778,America/Chicago
BMI,40.47722222,-88.91583333,America/Chicago
BNA,36.12444444,-86.67805556,America/Chicago
BOI,43.56444444,-116.22277778,America/Boise
BOS,42.36305556,-71.00638889,America/New_York
BPT,29.95083333,-94.02083333,America/Chicago
BQK,31.25916667,-81.46638889,America/New_York
BQN,18.49472222,-67.12944444,America/Puerto_Rico
BRD,46.40416667,-94.13361111,America/Chicago
BRO,25.90611111,-97.42611111,America/Chicago
BRW,71.28472222,-156.76861111,America/Anchorage
BTM,45.95472222,-112.4975,America/Denver
BTR,30.53305556,-91.15,America/Chicago
BTV,44.47194444,-73.15333333,America/New_York
BUF,42.94055556,-78.73055556,America/New_York
BUR,34.20055556,-118.35861111,America/Los_Angeles
BWI,39.17583333,-76.66888889,America/New_York
BZN,45.77722222,-111.15027778,America/Denver
CAE,33.93888889,-81.11944444,America/New_York
CAK,40.915,-81.44361111,America/New_York
CDC,37.70083333,-113.09888889,America/Denver
CDV,60.49166667,-145.4775,America/Anchorage
CHA,35.03527778,-85.20361111,America/New_York
CHO,38.13972222,-78.45222222,America/New_York
CHS,32.89861111,-80.04055556,America/New_York
CID,41.88472222,-91.71083333,America/Chicago
CIU,46.25083333,-84.4725,America/Detroit
CKB,39.29777778,-80.2275,America/New_York
CLE,41.40944444,-81.85472222,America/New_York
CLL,30.58805556,-96.3625,America/Chicago
CLT,35.21361111,-80.94916667,America/New_York
CMH,39.99694444,-82.89222222,America/New_York
CMI,40.03861111,-88.27666667,America/Chicago
CMX,47.16777778,-88.48638889,America/Detroit
CNY,38.7575,-109.75333333,America/Denver
COS,38.80583333,-104.70083333,America/Denver
COU,38.81777778,-92.21777778,America/Chicago
CPR,42.90583333,-106.46361111,America/Denver
CRP,27.77222222,-97.5025,America/Chicago
CRW,38.37611111,-81.59277778,America/New_York
CSG,32.51638889,-84.93888889,America/New_York
CVG,39.04888889,-84.66777778,America/New_York
CWA,44.7775,-89.66666667,America/Chicago
CYS,41.15555556,-104.81055556,America/Denver
DAB,29.18,-81.05805556,America/New_York
DAL,32.84583333,-96.85083333,America/Chicago
DAY,39.90222222,-84.21944444,America/New_York
DCA,38.85138889,-77.03777778,America/New_York
DDC,37.76305556,-99.96555556,America/Chicago
DEC,39.83444444,-88.86555556,America/Chicago
DEN,39.86166667,-104.67305556,America/Denver
DFW,32.89722222,-97.03777778,America/Chicago
DHN,31.32111111,-85.44944444,America/Chicago
DIK,46.80055556,-102.80444444,America/Denver
DLH,46.84194444,-92.19333333,America/Chicago
DRO,37.15166667,-107.75388889,America/Denver
DSM,41.53416667,-93.65777778,America/Chicago
DTW,42.2125,-83.35333333,America/Detroit
DVL,48.11666667,-98.91,America/Chicago
ECP,30.35833333,-85.79555556,America/Chicago
EGE,39.64277778,-106.91583333,America/Denver
EKO,40.825,-115.79138889,America/Los_Angeles
ELM,42.15972222,-76.89166667,America/New_York
ELP,31.80722222,-106.37638889,America/Denver
ESC,45.72277778,-87.09361111,America/Detroit
EUG,44.12444444,-123.21194444,America/Los_Angeles
EVV,38.04083333,-87.52861111,America/Chicago
EWR,40.6925,-74.16861111,America/New_York
EYW,24.55611111,-81.76,America/New_York
FAI,64.81527778,-147.85666667,America/Anchorage
FAR,46.92055556,-96.81583333,America/Chicago
FAT,36.77666667,-119.71888889,America/Los_Angeles
FAY,34.99111111,-78.88027778,America/New_York
FCA,48.31055556,-114.25611111,America/Denver
FLG,35.14027778,-111.66916667,America/Phoenix
FLL,26.07166667,-80.14972222,America/New_York
FNT,42.96555556,-83.74472222,America/Detroit
FOD,42.55111111,-94.19194444,America/Chicago
